Date,Open,High,Low,Close,AdjClose,Volume
1/2/2018,175.850006,177.800003,175.259995,177.699997,177.699997,2432800
1/3/2018,178,181.889999,177.699997,181.039993,181.039993,2561200
1/4/2018,181.929993,184.059998,181.639999,183.220001,183.220001,2211400
1/5/2018,185,185.899994,183.539993,185.339996,185.339996,2376500
1/8/2018,184.949997,185.600006,183.830002,185.039993,185.039993,2088000
1/9/2018,185.570007,186.970001,183.929993,186.699997,186.699997,1804300
1/10/2018,185.210007,187.270004,185.070007,187.110001,187.110001,1664300
1/11/2018,187.289993,188.940002,186.190002,188.919998,188.919998,1600100
1/12/2018,189.089996,195.5,188.990005,195.050003,195.050003,4246000
1/16/2018,195.919998,198.210007,191.710007,192.460007,192.460007,4595600
1/17/2018,194.020004,197.119995,192.770004,196.490005,196.490005,2902700
1/18/2018,196.210007,196.589996,194.059998,196.199997,196.199997,2539400
1/19/2018,196.240005,196.630005,194.649994,195.729996,195.729996,2343000
1/22/2018,195.699997,198,194.419998,197.839996,197.839996,1701300
1/23/2018,202.289993,204.449997,199.440002,200.089996,200.089996,3981000
1/24/2018,201.820007,202.300003,196.520004,197.779999,197.779999,3250500
1/25/2018,198.080002,199.240005,196.070007,197.509995,197.509995,2574200
1/26/2018,198.5,201.550003,198.25,201.300003,201.300003,2338100
1/29/2018,200.110001,200.860001,197.869995,198.229996,198.229996,1939000
1/30/2018,197.25,197.729996,194.889999,196.899994,196.899994,3343300
1/31/2018,197.130005,200.960007,196.75,199.759995,199.759995,2747600
2/1/2018,199.119995,201.75,198.080002,199.380005,199.380005,2366100
2/2/2018,197.330002,199.399994,195.440002,195.639999,195.639999,2813800
2/5/2018,194.059998,198.460007,188,190.270004,190.270004,3801300
2/6/2018,186.589996,194.820007,182.100006,194.470001,194.470001,4480000
2/7/2018,193.869995,196.240005,192.020004,192.339996,192.339996,2988000
2/8/2018,192.839996,192.970001,185.020004,185.160004,185.160004,3978700
2/9/2018,187.330002,189.710007,179.339996,187.990005,187.990005,3818800
2/12/2018,189,192.990005,188.559998,192.149994,192.149994,2824700
2/13/2018,190.850006,194.309998,190.389999,193.479996,193.479996,1961300
2/14/2018,192.479996,197.5,191.949997,197.130005,197.130005,2542400
2/15/2018,198.970001,203.279999,197.130005,202.970001,202.970001,2233300
2/16/2018,202.520004,203.899994,200.740005,201.559998,201.559998,2172600
2/20/2018,200.460007,205.119995,199.179993,202.979996,202.979996,2722700
2/21/2018,204.449997,206.830002,202.020004,202.089996,202.089996,2043500
2/22/2018,203.070007,204.220001,201.679993,202.610001,202.610001,1541500
2/23/2018,204.220001,209.779999,203.309998,209.740005,209.740005,2349300
2/26/2018,211.289993,212.350006,209.259995,212.149994,212.149994,2418700
2/27/2018,211.990005,212.759995,208.25,208.820007,208.820007,2330800
2/28/2018,210.690002,213.440002,209.100006,209.130005,209.130005,2356900
3/1/2018,210.320007,210.679993,204.449997,206.029999,206.029999,2632200
3/2/2018,203.960007,210.210007,201.759995,209.789993,209.789993,2624700
3/5/2018,208.75,212,206.919998,211.160004,211.160004,2111800
3/6/2018,212.440002,212.740005,209.880005,212.009995,212.009995,2169000
3/7/2018,211.330002,217.440002,211,216.860001,216.860001,2795100
3/8/2018,218.029999,219.710007,214.860001,216.399994,216.399994,2284400
3/9/2018,218,221.270004,217.190002,221.110001,221.110001,2642300
3/12/2018,222.970001,223.110001,220.339996,220.940002,220.940002,3216900
3/13/2018,223,224.899994,218.429993,219.759995,219.759995,4732000
3/14/2018,220.75,221.460007,217.600006,218.440002,218.440002,3357600
3/15/2018,220,221.470001,218.059998,218.869995,218.869995,4457000
3/16/2018,227.179993,228.880005,224,225.550003,225.550003,8783000
3/19/2018,224.479996,226.589996,218.679993,222.179993,222.179993,4029300
3/20/2018,223.190002,231.339996,223,229.75,229.75,5019300
3/21/2018,228.759995,229.25,225.610001,226.850006,226.850006,3971800
3/22/2018,223.860001,225.869995,220.259995,220.520004,220.520004,3008700
3/23/2018,219.520004,222.460007,214.779999,215.020004,215.020004,4297200
3/26/2018,218.830002,229.149994,218.5,228.910004,228.910004,4485400
3/27/2018,229.899994,230.979996,212.25,213.800003,213.800003,5468100
3/28/2018,213.720001,217.149994,209.039993,212.539993,212.539993,4503200
3/29/2018,213.350006,219.589996,210.270004,216.080002,216.080002,3757400
4/2/2018,214.809998,216.5,207.220001,212.279999,212.279999,3494900
4/3/2018,214.779999,217.850006,212.279999,215.929993,215.929993,3017800
4/4/2018,210.710007,226.279999,210.5,225.050003,225.050003,4474400
4/5/2018,227.940002,228.800003,221.610001,223.539993,223.539993,4084900
4/6/2018,221.889999,224.460007,216.75,218.610001,218.610001,2964500
4/9/2018,220.080002,224.440002,218.820007,219.169998,219.169998,2536100
4/10/2018,222.610001,225.160004,221.179993,224.529999,224.529999,2823200
4/11/2018,222.929993,226.619995,222.539993,223.630005,223.630005,1851100
4/12/2018,225.720001,228.389999,225.119995,226.960007,226.960007,2084100
4/13/2018,228.850006,228.949997,222.550003,224.059998,224.059998,2029300
4/16/2018,226.080002,227.229996,222.949997,226.520004,226.520004,2130700
4/17/2018,228.559998,232.210007,228.070007,231.160004,231.160004,3404400
4/18/2018,231.699997,233.169998,228.619995,231.100006,231.100006,2261600
4/19/2018,230.110001,230.429993,226.279999,227.619995,227.619995,2620100
4/20/2018,227,227.600006,223.050003,225.240005,225.240005,2403700
4/23/2018,226.389999,229.149994,224.75,225.300003,225.300003,2138000
4/24/2018,227,228.300003,215.779999,217.889999,217.889999,3450800
4/25/2018,218.160004,219.399994,213.25,217.320007,217.320007,2946100
4/26/2018,219.770004,223.190002,218.850006,221.910004,221.910004,2235900
4/27/2018,223.080002,224.179993,219.679993,221.899994,221.899994,1503100
4/30/2018,223.270004,224.139999,219.539993,221.600006,221.600006,1766300
5/1/2018,220.770004,224.490005,219.380005,224.080002,224.080002,1792900
5/2/2018,224.300003,224.5,220.550003,221.100006,221.100006,2202900
5/3/2018,220.009995,227.369995,218.740005,226.050003,226.050003,2507900
5/4/2018,223.889999,229.389999,223.389999,228.509995,228.509995,1663700
5/7/2018,229.539993,232.360001,229.020004,230.990005,230.990005,1808300
5/8/2018,229.740005,235,228.75,234.559998,234.559998,2244600
5/9/2018,235,240.149994,233.529999,239.740005,239.740005,3091600
5/10/2018,240.460007,241.759995,238.240005,241.149994,241.149994,1941400
5/11/2018,241.029999,241.929993,238.789993,241.880005,241.880005,2261700
5/14/2018,242,243.339996,237.240005,238.369995,238.369995,2670800
5/15/2018,235.639999,237.350006,233,236.600006,236.600006,2130100
5/16/2018,236.589996,238.119995,235.839996,237.389999,237.389999,1843700
5/17/2018,237.320007,239.669998,234.830002,236.850006,236.850006,1690600
5/18/2018,236.240005,239.279999,235.259995,238.089996,238.089996,1888200
5/21/2018,239.850006,240.779999,237.110001,238.100006,238.100006,1757900
5/22/2018,241.149994,243.490005,237.759995,238.789993,238.789993,2950200
5/23/2018,236.320007,244.089996,236,243.910004,243.910004,2702100
5/24/2018,243.789993,245.899994,240.720001,245.149994,245.149994,2779600
5/25/2018,245,245.789993,242.869995,243.559998,243.559998,2152900
5/29/2018,242.990005,243.389999,240.380005,242.190002,242.190002,2093400
5/30/2018,244.399994,248.559998,244.389999,247.399994,247.399994,2319300
5/31/2018,247.110001,251.520004,246.580002,249.279999,249.279999,3838400
6/1/2018,250.550003,251.830002,248.850006,251.309998,251.309998,2773200
6/4/2018,252.850006,254.720001,251.100006,253.339996,253.339996,3058700
